"","true","estimated","tissue_spiked","spike_color"
"sample_440",0.1,0.0249732449334957,"adipocyte",TRUE
"sample_441",0.1,0.29132530002561,"adipocyte",TRUE
"sample_442",0.1,0.0017572477542337,"adipocyte",TRUE
"sample_443",0.1,0.146105287568444,"adipocyte",TRUE
"sample_444",0.1,0,"adipocyte",TRUE
"sample_445",0.1,0.169027332244885,"adipocyte",TRUE
"sample_446",0.1,0.260695526161749,"adipocyte",TRUE
"sample_447",0.1,0,"adipocyte",TRUE
"sample_448",0.1,0.0833354685122094,"adipocyte",TRUE
"sample_449",0.1,0.169628513154643,"adipocyte",TRUE
"sample_450",0.1,0.0819446000303963,"adipocyte",TRUE
"sample_451",0.1,0.023998644576435,"adipocyte",TRUE
"sample_452",0.1,0.190791195782426,"adipocyte",TRUE
"sample_453",0.1,0,"adipocyte",TRUE
"sample_454",0.1,0.0805313040804441,"adipocyte",TRUE
"sample_455",0.1,0.0421977843077138,"adipocyte",TRUE
"sample_456",0.1,0.107528702471767,"adipocyte",TRUE
"sample_457",0.1,0.142232663351858,"adipocyte",TRUE
"sample_458",0.1,0.0427140410886644,"adipocyte",TRUE
"sample_459",0.1,0.150410695970466,"adipocyte",TRUE
"sample_460",0.1,0,"adipocyte",TRUE
"sample_461",0.1,0.0644446515901165,"adipocyte",TRUE
"sample_462",0.1,0.152560211920958,"adipocyte",TRUE
"sample_463",0.1,0.187286454403913,"adipocyte",TRUE
"sample_464",0.1,0.048940685041295,"adipocyte",TRUE
"sample_465",0.1,0.209897035988252,"adipocyte",TRUE
"sample_466",0.1,0.118806222971865,"adipocyte",TRUE
"sample_467",0.1,0.0547971601425301,"adipocyte",TRUE
"sample_468",0.1,0.101093982749699,"adipocyte",TRUE
"sample_469",0.1,0.0638316938155653,"adipocyte",TRUE
"sample_470",0.1,0.0182869434010578,"adipocyte",TRUE
"sample_471",0.1,0.154107314894767,"adipocyte",TRUE
"sample_472",0.1,0.0807774610267301,"adipocyte",TRUE
